title,snippet,link,position,date
ENDING EARLY AND FORCED MARRIAGE - OHCHR,"In Bangladesh there is no minimum legal age of marriage, however under the Child Marriage. Restraint Act it is illegal for any female under the age of 18 and ...",https://www.ohchr.org/Documents/Issues/Women/WRGS/Earlyforcedmarriage/SG/ShabinaBegum.pdf,70,2022-01-25 04:47:34
Hello I Am – tackling child marriage in Bangladesh - BBC,Children should be children - not brides and grooms. Here's how we're working to prevent child marriage in Bangladesh.,https://www.bbc.co.uk/mediaaction/where-we-work/asia/bangladesh/Hello-I-Am-films/,71,2022-01-25 04:47:34
Causes and Effects of Child Marriage in Bangladesh,by MMH Patoari · 2020 · Cited by 1 — Child marriage is one of the social diseases in Bangladesh which is an obstacle to overall progress of the country. It is still remaining a strong social ...,https://www.richtmann.org/journal/index.php/ajis/article/view/10716/10337,72,2022-01-25 04:47:34
"Mobile app stops 3,700 child marriages | Plan International","May 7, 2018 — An innovative new app developed by the government of Bangladesh and Plan International is being rolled out across the country after stopping ...",https://plan-international.org/news/2018-05-07-mobile-app-stops-3700-child-marriages,73,2022-01-25 04:47:34
Trend of child marriage in Bangladesh: A reflection on ...,by RK Biswas · 2019 · Cited by 9 — These studies on child marriage in Bangladesh showed a grim picture where girls are married off at an early age due to the disadvantaged socio-economic status ...,https://www.sciencedirect.com/science/article/pii/S0190740918311113,74,2022-01-25 04:47:34
Child Marriage in Bangladesh: Policy and Ethics,by AT Arnab · 2020 · Cited by 2 — adhered in Bangladeshi Muslim culture. This study examines how the religious cultural and socio- economic realities influence child marriage practice in ...,https://www.banglajol.info/index.php/BIOETHICS/article/view/49193/35281,75,2022-01-25 04:47:34
Bangladesh's new child marriage law swings in the wrong ...,"Mar 8, 2017 — At the July 2014 Girl Summit in London, the Bangladesh government pledged to revise the country's Child Marriage Restraint Act. Its aim was to ...",https://theconversation.com/bangladeshs-new-child-marriage-law-swings-in-the-wrong-direction-72282,76,2022-01-25 04:47:34
"Age at marriage, women's education, and mother and child ...","by S Pimkina · 2018 — Adolescent girls in Bangladesh drop out of school at high rates, experience poor health, face restricted mobility and lack the ability to influence key ...",https://www.3ieimpact.org/sites/default/files/2019-01/IE%2068-Bangladesh-marriage.pdf,77,2022-01-25 04:47:34
Pandemic drives up the number of child brides by 13 per cent,"Jun 17, 2021 — Bangladesh is already one of the top 10 countries in the world in terms of child marriage with 51 per cent of brides aged under 18, this ...",https://www.asianews.it/news-en/Pandemic-drives-up-the-number-of-child-brides-by-13-per-cent-53442.html,78,2022-01-25 04:47:34
Forced Marriage Overseas: Bangladesh,Forced marriage is a significant problem in Bangladesh. Although the Child Marriage Restraint Act sets the age of consent for marriage at 18 years of age ...,https://preventforcedmarriage.org/forced-marriage-in-bangladesh/,79,2022-01-25 04:47:34
A scoping analysis of budget allocations for ending child ...,... interventions that potentially contribute towards ending child marriage. ... analysis of budget allocations for ending child marriage in Bangladesh.,https://socialprotection.org/discover/publications/scoping-analysis-budget-allocations-ending-child-marriage-bangladesh,80,2022-01-25 04:47:34
